EST,Temperature,DewPoint,Humidity,SeaLevelPressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
1/1/2016,38,23,52,30.03,10,8,0,5,,281
1/2/2016,36,18,46,30.02,10,7,0,3,,275
1/3/2016,40,21,47,29.86,10,8,0,1,,277
1/4/2016,25,9,44,30.05,10,9,0,3,,345
1/5/2016,20,-3,41,30.57,10,5,0,0,,333
1/6/2016,33,4,35,30.50,10,4,0,0,,259
1/7/2016,39,11,33,30.28,10,2,0,3,,293
1/8/2016,39,29,64,30.20,10,4,0,8,,79
1/9/2016,44,38,77,30.16,9,8,T,8,Rain,76
1/10/2016,42,32,70,30.11,10,6,0.02,7,Rain,88
1/11/2016,35,20,55,30.30,10,5,0,2,,250
1/12/2016,28,10,48,30.40,10,7,0,1,,310
1/13/2016,31,14,50,30.18,10,6,0,4,,290
1/14/2016,37,25,61,29.95,8,10,0.05,9,Rain,120
1/15/2016,45,40,82,29.88,6,12,0.15,10,Rain,145
1/16/2016,30,12,43,30.50,10,9,0,2,,320
1/17/2016,27,8,39,30.62,10,11,0,1,,340
1/18/2016,34,18,51,30.33,10,5,0,3,,270
1/19/2016,41,30,68,30.01,9,7,0.01,6,Fog,95
1/20/2016,46,39,80,29.90,5,14,0.20,10,Rain,160